,вопрос,класс
0,вход система заказчик должный перейти,1
1,страница авторизация система web торг,1
2,рисунок результат успешный переход загрузиться,1
3,страница заказчик предложить ввести логин,1
4,пароль вход система каждый регион,1
5,использоваться страница авторизация поэтому заказчик,1
6,регион смочь авторизоваться сайт регион,1
7,работать система случай успешный ввод,1
8,данные идентификация пользователь предоставляться доступ,1
9,автоматизированный рабочий место арма заказчик,1
10,госзаказ рисунок посредством осуществляться навигация,1
11,документ размещение заказ данный пользователь,1
12,параметр отбор документ начало период,1
13,конец период задаваться форма изменение,1
14,период отображение документ рисунок вызываться,1
15,кнопка период обработка документ рисунок,1
16,настройка расчётный дата период отбор,1
17,документ скорректировать элемент управление расчётный,1
18,дата находиться право верхний угол,1
19,личный кабинет пользователь система рисунок,1
20,режим информационный взаимодействие происходить автоматизированный,1
21,обмен данные размещение заказ система,1
22,единый информационный система сфера закупка,1
23,еис электронный торговый площадка ввод,1
24,данные осуществляться помощь специальный форма,1
25,рисунок вызываться нажатие кнопка настройка,1
26,регистрационный дать еис торговый площадка,1
27,панель инструмент рисунок обеспечение информационный,1
28,обмен единый информационный система необходимо,1
29,ввести система регистрационный дать пользователь,1
30,являться государственный заказчик еис требоваться,1
31,перейти вкладка поле ввод регистрационный,1
32,данные двойной щелчок лкм открыть,1
33,форма сведение регистрационный данные еис,1
34,рисунок открыться форма сведение регистрационный,1
35,данные поле логин пароль подтверждение,1
36,пароль указать логин пароль вход,1
37,личный кабинет еис инструкция получение,1
38,логин пароль еис доступный нажатие,1
39,кнопка взять логин пароль получение,1
40,логин пароль интеграция еис данный,1
41,руководство пользователь случай необходимость интеграция,1
42,электронный документооборот нужно активировать блок,1
43,дать участник электронный документооборот нажатие,1
44,поле указать идентификатор еис блок,1
45,необходимо заполнить поле идентификатор срок,1
46,действие электронный документооборот ввод необходимый,1
47,реквизит требоваться сохранить ввести дать,1
48,кнопка ввести дать сохранение форма,1
49,сведение регистрационный данные еис поле,1
50,ввод регистрационный данные отображаться текстовка,1
51,ввести информация рисунок иной причина,1
52,заказчик помнить логин пароль вход,1
53,еис входить личный кабинет помощь,1
54,существовать возможность изменить пароль личный,1
55,кабинет еис процесс изменение пароль,1
56,отобразить логин производиться изменение пароль,1
57,изменить пароль логин еис необходимо,1
58,ввести система аналогичный образ заполняться,1
59,логин пароль личный кабинет торговый,1
60,площадка рисунок заполнение данные поле,1
61,позволять загружать торговый площадка первый,1
62,второй часть заявка передавать площадка,1
63,протокол являться результат подведение итог,1
64,определение поставщик электронный аукцион начинать,1
65,март месяц 2022 год возможно,1
66,получение этп документ запрос дача,1
67,разъяснение конкурсный аукционный документация передача,1
68,этп информация заявка участник внешний,1
69,информационный система запретить законодательство номер,1
70,спз проставляться автоматически момент заполнение,1
71,дать вкладка должный заполнить поле,1
72,спз пустой нужно обратиться администратор,1
73,система ваш регион сохранение система,1
74,ввести регистрационный данные еис торговый,1
75,площадка следовать нажать кнопка сохранить,1
76,экранный форма регистрационный дать еис,1
77,торговый площадка рисунок противный случай,1
78,внести сведение интеграция еис торговый,1
79,площадка утерять установка keysystems cryptomodule,1
80,необходимо окно авторизация система перейти,1
81,вкладка сертификат рисунок вход система,1
82,ваш регион предусмотреть кнопка вход,1
83,сертификат требоваться авторизация система выделить,1
84,документ нажать кнопка подписать рисунок,1
85,открыться окно необходимо нажать кнопка,1
86,скачать архив скачать установочный файл,1
87,рисунок особенность установка различный браузер,1
88,отразить инструкция доступный ознакомление нажатие,1
89,гиперссылка инструкция выбрать папка сохранение,1
90,файл рисунок содержимое архив следовать,1
91,распаковать запустить дистрибутив установка криптомодуль,1
92,наименование keysystems cryptomodule рисунок окно,1
93,предложение установка сертификат необходимо нажать,1
94,кнопка установить умолчание папка личный,1
95,пользователь процесс установка сертификат выходить,1
96,сообщение ошибка представить рисунок рисунок,1
97,требоваться повторно произвести установка сертификат,1
98,имя администратор система машина администратор,1
99,система машина пользователь производиться установка,1
100,сертификат рекомендоваться осуществить установка право,1
101,администратор система установка производиться авторизация,1
102,компьютер учётный запись администратор система,1
103,учётный запись дальнейший пользоваться данные,1
104,криптомодуль сертификат необходимо установить папка,1
105,корнев сертификат список личный проверка,1
106,успешный установка дистрибутив необходимо окно,1
107,авторизация перейти вкладка сертификат выбрать,1
108,необходимый сертификат список рисунок выбор,1
109,сертификат нажать кнопка войти рисунок,1
110,случай наличие доступ выбрать сертификат,1
111,произвести успешный авторизация система корректность,1
112,работа установленный сертификат проверить процесс,1
113,подписание документ электронный подпись необходимо,1
114,открыть список документ пример заявка,1
115,закупка состояние создание новый выделить,1
116,иметься документ нажать кнопка снять,1
117,подпись установка шаблонный значение умолчание,1
118,генерировать печатня форма пользователь должный,1
119,перейти раздел настройка выбрать пункт,1
120,шаблон набор реквизит рисунок открыться,1
121,форма шаблон набор реквизит необходимо,1
122,нужный реквизит установить шаблонный значение,1
123,умолчание рисунок установка значение умолчание,1
124,столбец значение необходимо открыть справочник,1
125,справочник пользовательский поле слияние данный,1
126,справочник доступный вариант шаблонный значение,1
127,выбрать реквизит справочник нужно выбрать,1
128,необходимый вариант значение нажать кнопка,1
129,применить рисунок шаблонный значение умолчание,1
130,выбрать реквизит применяться весь пользователь,1
131,организация пользователь данный момент устанавливать,1
132,менять реквизит форма документ заявка,1
133,закупка отсутствовать поле получатель блок,1
134,обеспечение заявка обеспечение исполнение контракт,1
135,вывод значение получатель генерация печатный,1
136,форма необходимо форма шаблон набор,1
137,реквизит установить значение реквизит наименование,1
138,получатель данный шаблонный значение умолчание,1
139,проставляться генерация печатный форма поле,1
140,значение указать значение справочник ввести,1
141,определённый текст поле рисунок заполнение,1
142,документ малый закупка контракт заявка,1
143,участник оказаться cправочник поставщик услуга,1
144,оказаться нужный поставщик заполнить необходимый,1
145,поле создать отредактировать иметься поставщик,1
146,услуга необходимо найти папка справочник,1
147,открыть справочник поставщик услуга рисунок,1
148,данный справочник доступный этап заполнение,1
149,документ малый закупка контракт заявка,1
150,участник открыться список поставщик услуга,1
151,добавление новый поставщик производиться кнопка,1
152,редактировать создание новый поставщик услуга,1
153,нужно выбрать тип поставщик выпадать,1
154,список юридический лицо физический лицо,1
155,юридический лицо иностранный государство физический,1
156,лицо иностранный государство рисунок открыться,1
157,форма необходимо заполнить обязательный заполнение,1
158,поле подписать красный жирный текст,1
159,рисунок поле дата включение единый,1
160,реестр смп доступный заполнение поле,1
161,статус поставщик исполнитель подрядчик выбрать,1
162,значение субъект малое предпринимательство система,1
163,доступный возможность автоматический загрузка данные,1
164,поставщик основа данные егрюла необходимо,1
165,внести значение инна огрн организация,1
166,нажать кнопка загрузить егрюла напротив,1
167,соответствующий поле случай заполнение сведение,1
168,филиал организация поле кпп вноситься,1
169,значение кпп филиал поле главный,1
170,кпп указываться значение головной организация,1
171,случай загрузка сведение поставщик егрюла,1
172,наличие филиал система предложить выбрать,1
173,необходимый филиал дать следовать загрузить,1
174,рисунок двойной клик лкм запись,1
175,требовать филиал происходить загрузка сведение,1
176,выбрать организация форма ввод сведение,1
177,поставщик являться юридический лицо российский,1
178,федерация доступный кнопка сравнение данные,1
179,документ данные сервис егрюла рисунок,1
180,красный текст отмечаться значение найти,1
181,отличие сведение егрюла данные экранный,1
182,форма сведение поставщик поставщик тип,1
183,физический лицо открыться форма необходимо,1
184,заполнить поле фамилия имя отчество,1
185,инна дата постановка учёт налоговый,1
186,орган форма собственность организация окфс,1
187,являться индивидуальный предприниматель статус подписать,1
188,красный жирный текст рисунок поле,1
189,дата включение единый реестр смп,1
190,доступный заполнение поле статус поставщик,1
191,исполнитель подрядчик выбрать значение субъект,1
192,малое предпринимательство случай добавление поставщик,1
193,качество индивидуальный предприниматель допускаться использование,1
194,наименование сокращение индивидуальный предприниматель наименование,1
195,корреспондент должный содержать фио параметр,1
196,индивидуальный предприниматель заполняться поле код,1
197,наименование организационно правовой форма рисунок,1
198,вкладка контактный дать обязательный заполнение,1
199,поле почтовый адрес место нахождение,1
200,контактный адрес электронный почта телефон,1
201,почтовый индекс поставщик тип юридический,1
202,лицо иностранный государство физический лицо,1
203,иностранный государство открыться форма необходимо,1
204,заполнить поле полный наименование код,1
205,налогоплательщик страна регистрация аналог форма,1
206,собственность организация окфс рисунок случай,1
207,установка флаг поставщик состоять учёт,1
208,налоговый орган территория становиться доступный,1
209,обязательный заполнение поле инна кпп,1
210,дата постановка учёт налоговый орган,1
211,заполняться юридический лицо иностранный государство,1
212,вкладка контактный дать обязательный заполнение,1
213,поле страна регистрация адрес место,1
214,нахождение страна регистрация электронный почта,1
215,телефон набор поле заполнение сведение,1
216,физический лицо иностранный государство представить,1
217,ниже рисунок вкладка счёт позволять,1
218,внести информация счёт поставщик начинать,1
219,версия еис указание счёт добавить,1
220,поле лицевой счёт тип лицевой,1
221,счёт рисунок тип лицевой счёт,1
222,принимать значение лицевой счёт лицевой,1
223,счёт расчётный счёт выбор доступно,1
224,заполнение поле лицевой счёт ввод,1
225,значение поле лицевой счёт расчётный,1
226,счёт производиться вручную поле бик,1
227,заполнить выбрать значение справочник вызов,1
228,справочник дважды кликнуть поле открыться,1
229,справочник выбрать требовать банк нажать,1
230,кнопка применить рисунок искомый банк,1
231,отсутствовать справочник добавить кнопка создать,1
232,панель инструмент справочник банк открыться,1
233,экранный форма поле бик вызвать,1
234,справочник банк бик рисунок глобальный,1
235,справочник банк выделить требовать банк,1
236,нажать кнопка применить карточка банк,1
237,заполнить автоматически сохранение запись нажать,1
238,кнопка сохранить вновь добавить банк,1
239,добавить список банк стать доступный,1
240,выбор отношение добавлять счёт поле,1
241,статус выбрать значение актуально счёт,1
242,доступный заполнение сведение заключить контракт,1
243,неактуальный счёт поле статус установить,1
244,значение неактуальный система работать контроль,1
245,блокировать возможность удаление изменение счёт,1
246,ранее использовать контракт сохранение ввести,1
247,данные нужно нажать кнопка сохранить,1
248,карточка редактирование поставщик дать процедура,1
249,вновь создать отредактировать поставщик стать,1
250,доступный выбор справочник постащиковы справочник,1
251,должность содержать весь список создать,1
252,должность создание новый должность необходимо,1
253,меню навигатор перейти папка справочник,1
254,выбрать справочник справочник должность нажать,1
255,кнопка создать рисунок открыться форма,1
256,необходимо ввести наименование создавать должность,1
257,проставить статус актуальность выбрать соответствовать,1
258,значение выпадать список рисунок окончание,1
259,ввод необходимо нажать кнопка сохранить,1
260,результат создавать должность добавить справочник,1
261,должность система доступный возможность работа,1
262,комиссия проводить голосование первый второй,1
263,часть заявка электронный аукцион формировать,1
264,протокол рассмотрение заявка передавать протокол,1
265,рассмотрение этп создание член комиссия,1
266,следовать открыть справочник справочник член,1
267,комиссия кнопка создать вызвать форма,1
268,заполнение данные новый член комиссия,1
269,рисунок открыться экранный форма вручную,1
270,заполнить поле фио рисунок основа,1
271,справочный значение заполнить поле должность,1
272,связать организация пользователь арма комиссия,1
273,поле статус выбрать значение актуальный,1
274,заполнение необходимый поле следовать сохранить,1
275,запись новый член комиссия воспользоваться,1
276,кнопка сохранить справочник комиссия содержать,1
277,весь список создать комиссия комиссия,1
278,состоять член комиссия назначить право,1
279,разрез дать комиссия создание новый,1
280,комиссия просмотр иметься комиссия следовать,1
281,открыть справочник справочник комиссия панель,1
282,инструмент нажать кнопка создать рисунок,1
283,открыться экранный форма заполнить следующий,1
284,поле номер приказ дата приказ,1
285,наименование комиссия связать организация статус,1
286,значение данный поле зависеть комиссия,1
287,доступный выбор документ список член,1
288,комиссия добавление член комиссия кликнуть,1
289,панель инструемнт кнопка добавить строка,1
290,добавить строка поле член комиссия,1
291,заполняться выбор значение справочник справочник,1
292,член комиссия выбор член комиссия,1
293,поле должность заполниться основа данные,1
294,ввести создание член комиссия рисунок,1
295,поле роль заполняться путём выбор,1
296,значение выпадать список заполнение необходимый,1
297,поле вновь создать комиссия следовать,1
298,сохранить кнопка редактировать предварительно выбрать,1
299,член комиссия требоваться отредактировать дать,1
300,изменение сразу отразиться комиссия справочник,1
301,член комиссия справочник исполнитель использоваться,1
302,внесение сведение лицо являться контрактный,1
303,управлять исполнитель являться ответственный лицо,1
304,контрактный служба создание новый запись,1
305,справочник необходимо нажать кнопка создать,1
306,рисунок открыться форма необходимо внести,1
307,сведение следующий поле рисунок фио,1
308,должность привязка исполнитель маршрут тип,1
309,контрактный служащий значение поле привязка,1
310,исполнитель маршрут выбираться справочник пользователь,1
311,данный справочник ограничить набор учётный,1
312,запись привязать организация заказчик создавать,1
313,исполнитель являться контрактный управлять поле,1
314,тип контрактный служащий выбираться значение,1
315,контрактный управлять создание исполнитель контрактный,1
316,служба необходимо выбрать значение ответственный,1
317,лицо контрактный служба случай работа,1
318,контрактный служба член контрактный служба,1
319,заносить достаточно внести ответственный лицо,1
320,контрактный служба сведение таблица член,1
321,комиссия заполнять внесение необходимый данные,1
322,следовать сохранить запись кнопка сохранить,1
323,справочник реестр контрактный служба заполняться,1
324,заказчик создать контрактный служба контрактный,1
325,служба заказчик создаваться случай совокупный,1
326,годовой объём закупка соответствие план,1
327,график превышать 100 миллион рубль,1
328,заказчик отсутствовать контрактный служба совокупный,1
329,годовой объём закупка заказчик превышать,1
330,100 миллион рубль назначаться контрактный,1
331,управлять создание контрактный служба необходимо,1
332,справочник реестр контрактный служба нажать,1
333,кнопка создать рисунок открыться электронный,1
334,форма доступный следующий поле заполнение,1
335,рисунок номер контрактный служба дата,1
336,создание контрактный служба реквизит документ,1
337,создание комиссия поле необязательный заполняться,1
338,наличие сведение внесение данный поле,1
339,необходимость внесение сведение данный поле,1
340,информация контрактный служба актуальность контрактный,1
341,служба член контрактный служба поле,1
342,информация контрактный служба вноситься весь,1
343,информация касательно наименование контрактный служба,1
344,состав контрактный служба сведение данный,1
345,поле дальнейший отразить одноимённый поле,1
346,документ заявка закупка далее использовать,1
347,автоматический генерация документация система поле,1
348,актуальность контрактный служба необходимо менять,1
349,статус контрактный служба контрактный служба,1
350,входить состав хотя документ система,1
351,данный справочный запись удалить отредактировать,1
352,поэтому контрактный служба состав переставать,1
353,актуальный меняться статус актуальный создаваться,1
354,новый служба статус актуальный поле,1
355,член контрактный служба заполняться путём,1
356,выбор справочник исполнитель данный список,1
357,отображаться запись иметь тип ответственный,1
358,лицо контрактный служба подробный информация,1
359,заполнение справочник исполнитель описать справочник,1
360,исполнитель заполнение необходимый поле запись,1
